"contrast","estimate","SE","df","t.ratio","p.value"
"(control LIA-1931) - (latrine LIA-1931)",-53.9958784580682,81.595164026917,8.91686953621785,-0.661753415193281,0.982089382959241
"(control LIA-1931) - (control 1931-1962)",-78.6208784580663,129.284592705612,15.2101255979916,-0.608122567528912,0.988780321308603
"(control LIA-1931) - (latrine 1931-1962)",-74.1208784580677,129.284592705612,15.2101255979917,-0.573315635737393,0.991401632802561
"(control LIA-1931) - (control 1984-2024)",305.644970052743,97.8680342170806,16.0259830026489,3.12303166705887,0.0601964069674682
"(control LIA-1931) - (latrine 1984-2024)",23.2124548752655,96.864541400921,15.4772742975574,0.239638308709784,0.999867301816689
"(latrine LIA-1931) - (control 1931-1962)",-24.6249999999981,128.438602814931,14.8766315656712,-0.191725847683663,0.99995548208019
"(latrine LIA-1931) - (latrine 1931-1962)",-20.1249999999995,128.438602814931,14.8766315656712,-0.156689652167875,0.99998362252036
"(latrine LIA-1931) - (control 1984-2024)",359.640848510812,96.7477178206878,15.4241744222047,3.71730575782025,0.0200324985788531
"(latrine LIA-1931) - (latrine 1984-2024)",77.2083333333338,95.7324822764275,14.8766315656712,0.80650090227886,0.961844068691422
"(control 1931-1962) - (latrine 1931-1962)",4.49999999999856,113.487792952152,8.4296365103961,0.0396518416909898,0.999999979817601
"(control 1931-1962) - (control 1984-2024)",384.26584851081,121.897275610226,15.2186670532356,3.15237437905933,0.0590998831406565
"(control 1931-1962) - (latrine 1984-2024)",101.833333333332,121.093076022085,14.8766315656712,0.840950917084306,0.954702403097933
"(latrine 1931-1962) - (control 1984-2024)",379.765848510811,121.897275610226,15.2186670532356,3.11545804949026,0.0632444788964996
"(latrine 1931-1962) - (latrine 1984-2024)",97.3333333333333,121.093076022085,14.8766315656711,0.803789419930018,0.962372044333919
"(control 1984-2024) - (latrine 1984-2024)",-282.432515177478,66.9968093052829,9.09739505915694,-4.21561143144181,0.0192177886262637
